id,title,alt_titles,author,author_alt_forms,edition_note,isbn
1,1984,,George Orwell,"Orwell, George",Signet Classics paperback,9780451524935
2,1984,,George Orwell,"Orwell, George",Centennial Edition hardcover,9780151010264
3,Pride and Prejudice,,Jane Austen,"Austen, Jane",Penguin Classics,9780141439518
4,Pride and Prejudice,,Jane Austen,"Austen, Jane",Barnes & Noble Classics,9781593080184
5,Harry Potter and the Philosopher's Stone,Harry Potter and the Sorcerer's Stone,J.K. Rowling,"Rowling, J. K.",UK edition,9780747532699
6,Harry Potter and the Sorcerer's Stone,Harry Potter and the Philosopher's Stone,J.K. Rowling,"Rowling, J. K.",US edition,9780590353427
7,And Then There Were None,Ten Little Indians,Agatha Christie,"Christie, Agatha",Original UK title differs,9780062073488
8,Emma,,Jane Austen,"Austen, Jane",1815 novel,9780141439587
9,Emma,,Alexander McCall Smith,"McCall Smith, Alexander",2014 modern retelling,9780008150487
10,The Circle,,Dave Eggers,"Eggers, Dave",2013 novel,9780345807298
11,The Circle,,Bernard Minier,"Minier, Bernard","French thriller, translated",9781510707486
12,The Lord of the Rings,LOTR Omnibus,J.R.R. Tolkien,"Tolkien, J. R. R.",Single-volume omnibus edition,9780618640157
13,The Fellowship of the Ring,,J.R.R. Tolkien,"Tolkien, J. R. R.",LOTR Book 1,9780547928210
14,The Two Towers,,J.R.R. Tolkien,"Tolkien, J. R. R.",LOTR Book 2,9780547928203
15,The Return of the King,,J.R.R. Tolkien,"Tolkien, J. R. R.",LOTR Book 3,9780547928197
16,A Song of Ice and Fire,The Ice and Fire Collection,George R.R. Martin,"Martin, George R. R.",5-book box set,9780345535528
17,A Game of Thrones,,George R.R. Martin,"Martin, George R. R.",Book 1,9780553593716
18,A Clash of Kings,,George R.R. Martin,"Martin, George R. R.",Book 2,9780553579901
19,Dune,,Frank Herbert,"Herbert, Frank",Book 1,9780441013593
20,Dune Messiah,,Frank Herbert,"Herbert, Frank",Book 2,9780441172696
21,The Stand,,Stephen King,"King, Stephen",Original 1978 edition,9780307743688
22,The Stand: The Complete and Uncut Edition,,Stephen King,"King, Stephen",1990 expanded edition,9780385199570
23,The Girl on the Train,,Paula Hawkins,"Hawkins, Paula",,9781594634024
24,The Girl with the Dragon Tattoo,,Stieg Larsson,"Larsson, Stieg",,9780307949486
25,One Hundred Years of Solitude,Cien anos de soledad,Gabriel Garcia Marquez,"Garcia Marquez, Gabriel; Gabriel García Márquez",,9780060883287
26,Love in the Time of Cholera,,Gabriel Garcia Marquez,"Garcia Marquez, Gabriel; G. Garcia Marquez",,9780307389732
27,Crime and Punishment,,Fyodor Dostoevsky,"Dostoevsky, Fyodor; F.M. Dostoevsky; F. Dostoyevsky",,9780486415871
28,The Brothers Karamazov,,Fyodor Dostoevsky,"Dostoevsky, Fyodor; F.M. Dostoevsky",,9780374528379
29,The Great Gatsby,,F. Scott Fitzgerald,"Fitzgerald, F. Scott",,9780743273565
30,To Kill a Mockingbird,,Harper Lee,"Lee, Harper",,9780061120084
31,The Catcher in the Rye,,J.D. Salinger,"Salinger, J. D.",,9780316769488
32,Brave New World,,Aldous Huxley,"Huxley, Aldous",,9780060850524
33,Fahrenheit 451,,Ray Bradbury,"Bradbury, Ray",,9781451673319
34,The Hobbit,,J.R.R. Tolkien,"Tolkien, J. R. R.",,9780547928227
35,The Alchemist,,Paulo Coelho,"Coelho, Paulo",,9780062315007
36,Life of Pi,,Yann Martel,"Martel, Yann",,9780156027328
37,The Kite Runner,,Khaled Hosseini,"Hosseini, Khaled",,9781594631931
38,A Thousand Splendid Suns,,Khaled Hosseini,"Hosseini, Khaled",,9781594489501
39,The Da Vinci Code,,Dan Brown,"Brown, Dan",,9780307474278
40,Angels & Demons,,Dan Brown,"Brown, Dan",,9781416524793
41,Gone Girl,,Gillian Flynn,"Flynn, Gillian",,9780307588371
42,Sharp Objects,,Gillian Flynn,"Flynn, Gillian",,9780307341556
43,The Hunger Games,,Suzanne Collins,"Collins, Suzanne",,9780439023528
44,Catching Fire,,Suzanne Collins,"Collins, Suzanne",,9780439023498
45,Mockingjay,,Suzanne Collins,"Collins, Suzanne",,9780439023511
46,Divergent,,Veronica Roth,"Roth, Veronica",,9780062024039
47,The Fault in Our Stars,,John Green,"Green, John",,9780525478812
48,Looking for Alaska,,John Green,"Green, John",,9780142402511
49,Twilight,,Stephenie Meyer,"Meyer, Stephenie",,9780316015844
50,New Moon,,Stephenie Meyer,"Meyer, Stephenie",,9780316024969
51,The Shining,,Stephen King,"King, Stephen",,9780307743657
52,It,,Stephen King,"King, Stephen",,9781501142970
53,Misery,,Stephen King,"King, Stephen",,9781501143106
54,Where the Crawdads Sing,,Delia Owens,"Owens, Delia",,9780735219090
55,The Silent Patient,,Alex Michaelides,"Michaelides, Alex",,9781250301697
56,Educated,,Tara Westover,"Westover, Tara",,9780399590504
57,Becoming,,Michelle Obama,"Obama, Michelle",,9781524763138
58,Sapiens,,Yuval Noah Harari,"Harari, Yuval Noah",,9780062316097
